0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,3,22,0,0,0,0,19,53,0,11,76,87,0,0,0,55,46,103,0,0
4,3,0,0,0,0,44,24,53,66,0,76,108,0,0,34,106,93,120,70,0,0
11,88,0,0,0,24,21,57,42,53,0,9,164,90,91,3,0,0,0,103,0,0
11,6,43,88,0,0,0,55,53,0,0,77,86,1,0,0,0,24,48,42,103,0
0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,96,39,46,103,49,0
11,5,31,0,0,0,34,27,53,0,0,95,74,0,0,0,96,26,39,53,0,0
11,0,0,0,0,44,24,53,65,66,0,9,32,0,0,7,103,117,0,0,0,0
10,5,43,0,0,0,0,27,53,66,0,77,86,32,0,0,102,28,48,93,0,0
0,0,0,0,0,0,0,0,0,0,0,76,98,0,0,0,57,35,103,121,0,0
17,0,0,0,0,52,34,96,53,0,0,6,3,32,0,0,19,21,26,49,0,0
11,6,2,17,0,0,0,0,53,61,0,9,90,0,0,58,55,49,121,0,0,0
10,185,22,0,0,0,0,19,53,65,0,9,5,3,32,0,0,24,55,113,66,0
6,2,22,0,0,0,0,34,53,66,0,97,0,0,46,103,49,65,181,0,0,0
10,6,17,0,0,0,28,57,69,53,0,78,76,3,87,0,0,24,58,103,0,0
11,43,0,0,0,0,23,53,66,0,0,0,0,0,52,63,103,61,68,0,0,0
11,6,3,17,0,0,0,24,53,66,0,1,74,0,0,0,21,55,49,67,0,0
11,6,3,22,0,0,0,27,21,53,68,158,76,95,32,0,0,0,27,24,49,0
5,76,0,0,40,19,53,54,60,0,0,86,83,17,74,0,0,0,30,24,29,55
6,0,0,0,21,57,35,53,66,18,0,76,0,0,24,58,103,61,68,65,0,0
11,17,0,0,0,0,52,60,67,0,0,90,87,0,0,48,47,199,152,122,70,0
11,6,91,22,0,0,21,53,67,0,0,0,0,0,0,51,24,55,123,113,68,0
11,17,0,0,0,0,24,48,53,60,0,77,83,92,0,0,114,42,49,0,0,0
10,6,17,0,0,0,21,53,54,66,0,32,74,0,0,0,28,96,103,122,70,0
5,17,0,0,33,7,53,60,120,0,0,76,13,87,0,0,0,0,24,55,121,0
6,37,17,0,0,0,27,53,60,0,0,79,200,76,32,0,0,0,24,46,0,0
11,2,17,0,0,0,24,55,53,67,0,0,0,0,0,0,0,0,0,0,0,0
6,17,0,64,0,0,0,96,55,26,53,32,74,0,0,23,34,21,47,103,0,0
5,13,1,0,0,0,53,67,65,0,0,75,76,88,0,0,0,34,103,66,0,0
2,98,0,0,25,34,35,53,18,0,0,11,76,43,0,64,0,0,105,195,0,0
11,5,3,0,0,0,0,30,28,48,53,77,86,83,0,0,102,24,42,93,66,0
11,6,3,2,0,0,0,0,55,53,0,9,76,92,0,0,52,135,66,0,0,0
15,0,0,33,25,44,21,55,69,53,60,158,32,0,0,0,58,63,93,175,0,0
6,137,0,0,0,0,96,19,27,53,0,156,76,0,0,34,24,47,157,93,66,0
6,126,0,0,0,0,55,53,60,127,0,9,76,17,0,0,93,49,62,121,0,0
11,9,6,22,0,0,0,0,34,53,0,76,43,32,0,0,24,26,103,49,0,0
