year,kospi,kosdaq,goldprice
20181216,2145.62,728.45,178500
20181217,2128.1,719.72,178500
20181218,2140.67,729.31,179500
20181219,2168.28,736.81,180500
20181220,2177.18,739.57,181000
20181221,2203.27,749.3,178500
20181222,2206.53,751.58,178500
20181223,2209.61,751.71,178500
20181224,2210.6,751.92,178000
20181225,2213.56,756.81,177500
20181226,2224.39,760.15,175500
20181227,2224.44,766.49,174000
20181228,2233.45,767.85,173500
20181229,2242.88,766.75,173000
20181230,2248.63,765.02,173000
20181231,2245.89,766.89,173500
20190101,2213.77,753.52,173500
20190102,2216.15,762.57,173500
20190103,2216.65,762.01,173500
20190104,2220.51,761.42,173500
20190105,2201.03,757.82,175500
20190106,2190.5,750.43,175500
20190107,2179.31,741,175000
20190108,2216.43,750.6,175000
20190109,2203.59,754.74,175000
20190110,2212.75,760.38,175000
20190111,2196.32,761.82,176000
20190112,2176.99,753.45,176500
20190113,2168.01,745.37,176500
20190114,2102.01,724.22,176500
20190115,2108.04,722.62,177500
20190116,2079.01,708.8,177500
20190117,2081.84,710.16,177500
20190118,2092.78,729.6,177500
20190119,2067.69,717.59,176500
20190120,2055.8,714.13,175000
20190121,2055.71,702.08,175000
20190122,2061.25,703.98,175000
20190123,2064.86,706.93,175000
20190124,2059.59,696.89,175500
20190125,2045.31,690.03,176000
20190126,2044.21,689.67,176500
20190127,2048.83,702.76,176500
20190128,2023.32,691.47,177000
20190129,2038.8,689.33,177500
20190130,2041.74,696.47,177500
