year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20100101,-4.9,-11,0.9,0,2123
20100102,-3.1,-5.5,5.5,0.8,2123
20100103,-2.9,-6.9,1.4,0,2123
20100104,-1.8,-5.1,2.2,5.9,2020
20100105,-5.2,-8.7,-1.8,0.7,2060
20100106,-7.3,-11.4,-2.5,0.3,2060
20100107,-6.7,-11.2,-1.2,0,2140
20100108,-5.6,-11.4,1.4,0,2140
20100109,-3.1,-8.8,1.8,0.1,2140
20100110,-1.3,-5,2.8,0,2140
20100111,-1.5,-5.1,2.1,0,2140
20100112,-5,-8.2,-1.7,0.4,2140
20100113,-8.3,-11.4,-4.6,0.7,2140
20100114,-6.4,-12.7,0,0.1,2140
20100115,-2.6,-7.9,3.9,0.1,2140
20100116,-4.1,-9.9,2.9,0,2140
20100117,-3.1,-9.8,4.9,0,2140
20100118,-0.4,-7.1,7.7,0,2140
20100119,3.6,-4.6,11,0.3,2140
20100120,8,4.9,11.3,10.8,2175
20100121,1.3,-3.6,7.9,3.1,2211
20100122,-3.1,-5.7,0.8,0,2211
20100123,-2.7,-6.6,2,0.1,2211
20100124,0.4,-5.5,5.8,0,2211
20100125,0.8,-4.3,5.4,0,2211
20100126,-2.3,-7.7,4.3,0,2178
20100127,1.3,-5.9,7.4,6.5,2178
20100128,3.5,-0.7,7.4,0.1,2311
20100129,0.2,-4.3,5,0,2344
20100130,1.9,-3.3,7.5,0,2344
20100131,3,-1.3,9.4,0,2344
20100201,2.2,-1,6.8,0.2,2380
20100202,-2,-5.5,1.8,0,2520
20100203,-4.9,-8.6,-0.3,0,2620
20100204,-2.9,-8.4,2.2,0.1,2720
20100205,-1.8,-5.9,3,0,2820
20100206,-2.6,-8.5,4.7,0,2820
20100207,1.2,-8.3,8.6,0.1,2820
20100208,4.9,2.8,7.3,2.7,2980
20100209,5.6,3.6,7.8,6.9,3040
20100210,5.1,4,6.5,9,3040
20100211,2.4,0.7,5.2,17.3,3080
20100212,0.7,-0.6,2.7,3.1,3180
20100213,-0.7,-3.3,2.2,1.9,3180
20100214,-1.2,-4.9,2.5,0,3180
20100215,-0.5,-4.4,5,0.1,3180
20100216,-1.6,-5,3.2,0.6,3180
20100217,-1.2,-6.1,3.6,0.4,3280
20100218,-1.1,-4.8,2.4,0.5,3300
20100219,-0.6,-6.1,5.4,0.1,3300
20100220,2.2,-4.2,9.7,0,3300
20100221,3.7,-3.4,11.6,0,3300
20100222,5.2,-0.8,12.8,0,3260
20100223,6.4,-1.2,16.4,0,3260
20100224,11.2,1.2,18.9,0,3300
20100225,13.4,10.3,16.4,33.4,3260
20100226,9.4,6,13.5,4.1,3340
20100227,6.3,3.8,9.2,1.5,3340
