,date,close,diff,open,high,low,volume
9980,2021-07-16,447000,2000,448000,461000,443000,1242657
9981,2021-07-15,449000,5000,446500,452500,439500,950460
9982,2021-07-14,444000,3000,436000,444500,436000,931990
9983,2021-07-13,441000,22500,421000,442000,419000,1498546
9984,2021-07-12,418500,3000,418500,421500,413000,475697
9985,2021-07-09,415500,6500,420000,424000,408000,1090218
9986,2021-07-08,422000,4500,419000,431500,418500,1142267
9987,2021-07-07,417500,8000,411000,419000,410500,663260
9988,2021-07-06,409500,500,411500,412500,408000,342771
9989,2021-07-05,410000,4000,415500,418000,408500,492899
9970,2021-07-02,414000,1000,412500,418500,407000,517934
9971,2021-07-01,413000,4500,418000,423500,410500,592869
9972,2021-06-30,417500,6000,415000,425000,409000,955297
9973,2021-06-29,411500,3500,409500,411500,406000,572319
9974,2021-06-28,408000,2000,406000,413000,403000,623480
9975,2021-06-25,410000,9500,420000,420000,405000,1382051
9976,2021-06-24,419500,4000,430000,436000,413000,2143286
9977,2021-06-23,423500,32500,393000,427000,392500,2721355
9978,2021-06-22,391000,6000,400000,400500,391000,702840
9979,2021-06-21,397000,1000,398000,402000,392000,809114
9960,2021-06-18,398000,8500,391500,400500,391000,1268656
9961,2021-06-17,389500,1500,389500,394500,385000,670522
9962,2021-06-16,391000,4000,384500,395000,383000,836281
9963,2021-06-15,387000,0,387000,389000,381500,625594
9964,2021-06-14,387000,14500,377500,388000,375500,1208589
9965,2021-06-11,372500,1000,378000,378500,367500,658403
9966,2021-06-10,373500,15000,365000,377000,361500,1502316
9967,2021-06-09,358500,4000,360500,363500,358500,361808
9968,2021-06-08,362500,0,361500,365500,361500,370929
9969,2021-06-07,362500,5500,358500,364000,357000,393697
9950,2021-06-04,357000,5000,360500,360500,355000,433146
9951,2021-06-03,362000,1000,362500,365000,361000,292257
9952,2021-06-02,363000,4000,367000,369000,362000,397044
9953,2021-06-01,367000,4500,362500,368500,362500,404110
9954,2021-05-31,362500,4500,359500,364000,357000,397118
9955,2021-05-28,358000,0,361500,361500,355500,439112
9956,2021-05-27,358000,5000,363000,363500,353500,963669
9957,2021-05-26,363000,5000,359500,366500,359500,543316
9958,2021-05-25,358000,2500,355500,358000,352500,433413
9959,2021-05-24,355500,4500,356500,358500,353000,361765
9940,2021-05-21,360000,9000,355000,360000,353500,618431
9941,2021-05-20,351000,1500,351500,355000,348500,561151
9942,2021-05-18,349500,5500,347000,349500,345000,445015
9943,2021-05-17,344000,1500,345500,349000,341000,453316
9944,2021-05-14,342500,5000,338000,344500,337500,460390
9945,2021-05-13,337500,5500,337500,341500,334500,992326
9946,2021-05-12,343000,6000,349500,350500,340500,1120816
9947,2021-05-11,349000,13000,356500,358000,347500,2373361
9948,2021-05-10,362000,1000,362500,364000,360000,572111
9949,2021-05-07,361000,500,360500,364000,360000,446152
9930,2021-05-06,361500,3000,360500,364500,359500,632873
9931,2021-05-04,364500,1500,366000,367000,360500,398383
9932,2021-05-03,363000,3500,366000,370500,360500,507361
9933,2021-04-30,359500,7000,366000,366000,353500,1028215
9934,2021-04-29,366500,7000,373500,377500,366000,743106
9935,2021-04-28,373500,6500,381500,382000,373000,485971
9936,2021-04-27,380000,2500,378000,381500,376000,392509
9937,2021-04-26,377500,500,376500,379000,374500,484369
9938,2021-04-23,378000,2500,377500,379500,374000,505140
9939,2021-04-22,380500,0,382000,384500,380000,394350
9920,2021-04-21,380500,10500,389000,389000,380500,835828
9921,2021-04-20,391000,1000,389000,391500,387500,417892
9922,2021-04-19,390000,1500,391500,393500,388500,449064
9923,2021-04-16,391500,500,394500,395000,391000,423962
9924,2021-04-15,391000,500,391500,398500,386500,889538
9925,2021-04-14,391500,3000,391500,398000,390000,757969
9926,2021-04-13,388500,3000,384000,389000,382000,586643
9927,2021-04-12,385500,2000,384500,393000,383000,680329
9928,2021-04-09,383500,2000,382000,385000,381500,469100
9929,2021-04-08,381500,3000,384500,387000,380000,626575
9910,2021-04-07,384500,4000,390500,391000,381500,578490
9911,2021-04-06,388500,11500,378500,391000,378000,997518
9912,2021-04-05,377000,2500,379500,380000,374500,421508
9913,2021-04-02,379500,1000,381500,382500,378000,476668
9914,2021-04-01,378500,1500,375500,379000,372000,547402
9915,2021-03-31,377000,500,379500,383000,377000,568103
9916,2021-03-30,376500,4500,373500,381000,373500,623997
9917,2021-03-29,372000,11000,383500,384000,372000,878014
9918,2021-03-26,383000,3000,380000,383000,377000,691786
9919,2021-03-25,380000,7000,381500,384000,378000,672585
9900,2021-03-24,387000,1000,380000,387000,376000,763754
9901,2021-03-23,386000,10500,397000,399000,384000,1167110
9902,2021-03-22,396500,5500,402500,405500,393000,911358
9903,2021-03-19,402000,1500,397000,407500,395000,1258199
9904,2021-03-18,403500,20000,388500,410000,386500,1818409
9905,2021-03-17,383500,2000,388000,391500,380500,1200355
9906,2021-03-16,385500,2500,384500,389500,384000,574082
9907,2021-03-15,383000,2500,382000,385500,377500,609496
9908,2021-03-12,380500,7000,396000,396000,378500,969276
9909,2021-03-11,373500,1500,372500,377500,366000,1024741
9890,2021-03-10,372000,10500,373000,378000,368000,946917
9891,2021-03-09,361500,7000,366500,371500,350000,1313900
9892,2021-03-08,368500,9000,382000,386000,366500,1031748
9893,2021-03-05,377500,14000,386000,386500,371000,1594386
9894,2021-03-04,391500,8000,392000,401000,389000,1585134
9895,2021-03-03,399500,22000,379000,399500,377500,1287551
9896,2021-03-02,377500,2500,389000,390000,375500,1240322
9897,2021-02-26,375000,8000,372000,378500,368500,1170208
9898,2021-02-25,383000,9000,380500,384500,374500,757476
9899,2021-02-24,374000,16500,389500,391500,374000,1078485
9880,2021-02-23,390500,4000,379000,394500,378500,1017577
9881,2021-02-22,386500,11500,400000,405500,384500,1289395
9882,2021-02-19,398000,10000,387000,398500,385500,1047043
9883,2021-02-18,388000,4000,391500,400000,386500,1020222
9884,2021-02-17,392000,2000,396500,396500,386000,1161595
9885,2021-02-16,394000,8500,391500,405000,390000,1567108
9886,2021-02-15,385500,19000,383500,388000,378000,1172475
9887,2021-02-10,366500,8000,365000,368500,359000,1147417
9888,2021-02-09,358500,1000,359500,362000,355000,667655
9889,2021-02-08,357500,5000,361500,364500,357000,712484
9870,2021-02-05,362500,4500,363500,371500,356500,982325
9871,2021-02-04,358000,12500,368000,368500,356000,1160116
9872,2021-02-03,370500,8000,366500,371000,361000,1197680
9873,2021-02-02,362500,14500,358000,373000,353000,1951062
9874,2021-02-01,348000,5000,346500,352500,341500,988630
9875,2021-01-29,343000,12000,362000,362000,340500,1607894
9876,2021-01-28,355000,13500,336000,366000,335000,2285696
9877,2021-01-27,341500,500,347000,352000,339500,1149246
9878,2021-01-26,342000,7000,350500,351000,338000,1247284
9879,2021-01-25,349000,5500,349000,353000,340000,1593848
