Seoul, 9901234, 9631482, 9762546, 9853972
Busan, 3473291, 3393191, 3512547, 3655437
Incheon, 2894510, 2632035, 2517680, 2466338 
Daegu, 2456032, 2431774, 2456016, 2473990  
